latitude,longitude,cluster
45.027487,-72.56027014070351,1
45.027487,-72.55623611055276,1
45.027487,-72.55220208040201,1
45.027487,-72.54816805025125,1
45.027487,-72.5441340201005,1
45.027487,-72.54009998994975,1
45.027487,-72.53606595979899,1
45.027487,-72.53203192964824,1
45.027487,-72.52799789949748,1
45.027487,-72.52396386934673,1
45.027487,-72.51992983919598,1
45.027487,-72.51589580904522,1
45.027487,-72.51186177889447,1
45.027487,-72.50782774874372,1
45.027487,-72.50379371859296,1
45.027487,-72.49975968844221,1
45.027487,-72.49572565829145,1
45.027487,-72.4916916281407,1
45.027487,-72.48765759798995,1
45.027487,-72.48362356783919,1
45.027487,-72.47958953768844,1
45.027487,-72.47555550753769,1
45.027487,-72.47152147738693,1
45.027487,-72.46748744723618,1
45.027487,-72.46345341708542,1
45.027487,-72.45941938693467,1
45.027487,-72.45538535678392,1
45.027487,-72.45135132663316,1
45.027487,-72.44731729648241,1
45.027487,-72.44328326633166,1
45.027487,-72.4392492361809,1
45.027487,-72.43521520603015,1
45.027487,-72.4311811758794,1
45.027487,-72.42714714572864,1
45.027487,-72.42311311557789,1
45.027487,-72.41907908542713,1
45.027487,-72.41504505527638,1
45.027487,-72.41101102512563,1
45.027487,-72.40697699497487,1
45.027487,-72.40294296482412,1
45.027487,-72.39890893467337,1
45.027487,-72.39487490452261,1
45.027487,-72.39084087437186,1
45.027487,-72.3868068442211,1
45.027487,-72.38277281407035,1
45.027487,-72.3787387839196,1
45.027487,-72.37470475376884,1
45.027487,-72.37067072361809,1
45.027487,-72.36663669346734,1
45.027487,-72.36260266331658,1
45.027487,-72.35856863316583,1
45.027487,-72.35453460301507,1
45.027487,-72.35050057286432,1
45.027487,-72.34646654271357,1
45.027487,-72.34243251256281,1
45.027487,-72.33839848241206,1
45.027487,-72.33436445226131,1
45.027487,-72.33033042211055,1
45.027487,-72.3262963919598,1
45.027487,-72.32226236180904,1
45.027487,-72.31822833165829,1
45.027487,-72.31419430150754,1
45.027487,-72.31016027135678,1
45.027487,-72.30612624120603,1
45.027487,-72.30209221105528,1
45.027487,-72.29805818090452,1
45.027487,-72.29402415075377,1
45.027487,-72.28999012060301,1
45.027487,-72.28595609045226,1
45.027487,-72.28192206030151,1
45.027487,-72.27788803015075,1
45.027487,-72.273854,1
45.03290157788945,-73.07662599999999,2
45.03290157788945,-73.07259196984924,2
45.03290157788945,-73.06855793969848,2
45.03290157788945,-73.06452390954773,2
45.03290157788945,-73.06048987939698,2
45.03290157788945,-73.05645584924622,2
45.03290157788945,-73.05242181909547,2
45.03290157788945,-73.04838778894471,2
45.03290157788945,-73.04435375879396,2
45.03290157788945,-73.04031972864321,2
45.03290157788945,-73.03628569849245,2
45.03290157788945,-73.0322516683417,2
45.03290157788945,-73.02821763819095,2
45.03290157788945,-73.02418360804019,2
45.03290157788945,-73.02014957788944,2
45.03290157788945,-73.01611554773868,2
45.03290157788945,-73.01208151758793,2
45.03290157788945,-73.00804748743718,2
45.03290157788945,-73.00401345728642,2
45.03290157788945,-72.99997942713567,2
45.03290157788945,-72.99594539698492,2
45.03290157788945,-72.99191136683416,2
45.03290157788945,-72.98787733668341,2
45.03290157788945,-72.98384330653265,2
45.03290157788945,-72.9798092763819,2
45.03290157788945,-72.97577524623115,2
45.03290157788945,-72.97174121608039,2
45.03290157788945,-72.96770718592964,2
45.03290157788945,-72.96367315577889,2
45.03290157788945,-72.95963912562813,2
45.03290157788945,-72.95560509547738,2
45.03290157788945,-72.95157106532662,2
45.03290157788945,-72.94753703517587,2
45.03290157788945,-72.94350300502512,2
45.03290157788945,-72.93946897487436,2
45.03290157788945,-72.93543494472361,2
45.03290157788945,-72.93140091457286,2
45.03290157788945,-72.9273668844221,2
45.03290157788945,-72.92333285427135,2
45.03290157788945,-72.91929882412059,2
45.03290157788945,-72.91526479396984,2
45.03290157788945,-72.91123076381909,2
45.03290157788945,-72.90719673366833,0
45.03290157788945,-72.90316270351758,0
45.03290157788945,-72.89912867336683,0
45.03290157788945,-72.89509464321607,0
45.03290157788945,-72.89106061306532,0
45.03290157788945,-72.88702658291457,0
45.03290157788945,-72.88299255276381,0
45.03290157788945,-72.87895852261306,0
45.03290157788945,-72.8749244924623,0
45.03290157788945,-72.87089046231155,0
45.03290157788945,-72.8668564321608,0
45.03290157788945,-72.86282240201004,0
45.03290157788945,-72.85878837185929,0
45.03290157788945,-72.85475434170854,0
45.03290157788945,-72.85072031155778,0
45.03290157788945,-72.84668628140703,0
45.03290157788945,-72.84265225125627,0
45.03290157788945,-72.83861822110552,0
45.03290157788945,-72.83458419095477,0
45.03290157788945,-72.83055016080401,0
45.03290157788945,-72.82651613065326,0
45.03290157788945,-72.82248210050251,0
45.03290157788945,-72.81844807035175,0
45.03290157788945,-72.814414040201,0
45.03290157788945,-72.81038001005024,0
45.03290157788945,-72.80634597989949,0
45.03290157788945,-72.80231194974874,0
45.03290157788945,-72.79827791959798,1
45.03290157788945,-72.79424388944723,1
45.03290157788945,-72.79020985929648,1
45.03290157788945,-72.78617582914572,1
45.03290157788945,-72.78214179899497,1
45.03290157788945,-72.77810776884421,1
45.03290157788945,-72.77407373869346,1
45.03290157788945,-72.77003970854271,1
45.03290157788945,-72.76600567839195,1
45.03290157788945,-72.7619716482412,1
45.03290157788945,-72.75793761809045,1
45.03290157788945,-72.75390358793969,1
45.03290157788945,-72.74986955778894,1
45.03290157788945,-72.74583552763819,1
